Class,Content,ID,Platform
others,"إن لم تستطع زيارتها فتمتع بجمال الصورة على الأقل.. منطقة البحيرات السبع شمال شرقي #تركيا، ترتفع ما بين 2930 إلى 3200 مترا عن سطح البحر  وتمتاز بطبيعة خلابة ساحرة وتعد محط أنظار عشاق التصوير.
#الجزيرة",812386155471598_1600915153285357,facebook
politics,RT @ajmidan: لماذا  يعارض قصر الإليزيه مساعي المجتمع الدولي لخلق حالة من الاستقرار قد تُمكّن ليبيا من النجاة من حرب أهلية لا يبدو أن حفتر م…,1138849488855080962,twitter
art-and-entertainment,"#كاريكاتير | #ترمب والأميركيون
المزيد من الرسوم على الرابط التالي: http://aja.me/x4kg
#الجزيرة",1128270843056984069,twitter
politics,"إضراب في سجون السعودية.. ثلاثة نشطاء بارزين يضربون عن الطعام احتجاجا على الانتهاكات ضدهم في المعتقلات
#الأخبار ",W_yx7foNsRg,youtube
human-rights-press-freedom,"في #تايلاند.. حملة حقوقية بمشاركة رياضيين لمنع تسليم لاعب كرة القدم البحريني حكيم العريبي إلى 
#المنامة ",1092693603179290624,twitter
crime-war-conflict,"إيران تقول إن الهجوم على ""عين الأسد"" أوقع أضراراً كبيرة رغم تقليل الولايات المتحدة من حجم الخسائر.",1217818414829461505,twitter
crime-war-conflict,RT @AJABreaking: عاجل | الحوثيون: بنك الأهداف يشمل منشآت عسكرية وحيوية وقواعد عسكرية على امتداد جغرافيا #السعودية والإمارات,1130181684639555590,twitter
politics,RT @AJABreaking: عاجل | البخيتي: لم يعد للسعودية مواصلة عدوانها على #اليمن من موقع آمن,1128276590322909186,twitter
politics,"جلاء زاهر السجين الذي رفض الالتحاق بجيش الاحتلال
جلاء زاهر رفض الانخراط في الخدمة العسكرية لجيش الاحتلال، ويقضي أكثر من 90 يوماً بالسجن، وحراك 'ارفض. شعبك بيحميك' يهتم بقضايا الفلسطينيين الدروز الذين يرفضون الالتحاق بالخدمة العسكرية.   لمتابعتنا على تويتر https://twitter.com/ajplusarabi للتواصل معنا على فيسبوك  https://www.facebook.com/ajplusarabi  لتصفح موقعنا الإلكتروني http://ajplus.net/arabi/ للاشتراك في قناتنا http://www.youtube.com/channel/UC-4KnPMmZzwAzW7SbVATUZQ?sub_confirmation=1",ypmcW22qcEc,youtube
politics,"RT @AJShahed: #شاهد_على_العصر | من ضيوف البرنامج... أحمد ياسين مؤسس حركة المقاومة الإسلامية (حماس)  
رابط الحلقات: …",gTo8ut3Ac1U,youtube
politics,عاجل | وزير الخارجية الروسي: على دول الخليج دعم الحوار ورفض دفع المنطقة إلى سيناريوهات استخدام القوة,1136437550896128000,twitter
sports,"RT @AJAPodcasts: كيف أصبحت كرة القدم ⚽ لعبة سياسية؟
الناقد الرياضي د. علاء صادق مع خديجة بن قنة في بودكاست بعد أمس ⬅ https://t.co/gVPkudxgS…",SFXzBJ3zWcE,youtube
politics,"#سد_النهضة.. نشطاء يتهمون #السيسي بالتنازل عن حق مصر المائي لصالح #إثيوبيا
#نشرتكم ",asAiuAJR9XE,youtube
crime-war-conflict,عاجل | مراسل #الجزيرة: استشهاد مواطن فلسطيني جراء قصف قوات الاحتلال الاسرائيلي على شمال قطاع غزة,1117246092838678528,twitter
politics,#من_واشنطن - بعد الفشل في تشكيل حكومة جديدة في #إسرائيل.. ما هو مستقبل خطة السلام الأمريكية في الشرق الأوسط؟ ,1187807571731603456,twitter
others,"@6iiyo صديقتنا ماذا تقصدين بـ""الضرب بجميع الأنواع""؟ 😰 هل تقصدين الضرب المؤلم؟",YGrTKvOAxQo,youtube
politics,"حسن نصر الله: كل دولة تشارك في الحرب على #إيران ستدفع الثمن 
تقرير: نسيبة موسى ",812386155471598_1011400292236849,facebook
politics,RT @AJABreaking: عاجل | البيت الأبيض يقول إن الرئيس ترمب لن يتحدث الليلة,1205483204981002240,twitter
politics,"انتقادات لقانون حظر المشروبات الكحولية في العراق
واجه قانون منع بيع وصنع واستيراد المشروبات الكحولية في العراق انتقادات عديدة من أعضاء بمجلس النواب والشعب العراقي   لمتابعتنا على تويتر https://twitter.com/ajplusarabi للتواصل معنا على فيسبوك  https://www.facebook.com/ajplusarabi  لتصفح موقعنا الإلكتروني http://ajplus.net/arabi/ للاشتراك في قناتنا http://www.youtube.com/channel/UC-4KnPMmZzwAzW7SbVATUZQ?sub_confirmation=1",tnjK2Xo4Y0Y,youtube
environment,"ارتفاع درجات الحرارة، ذوبان الجليد، أعاصير وفيضانات، تلوث المحيطات..
شهدت 2019 تحذيرات متتالية بشأن الأوضاع البيئية في كوكبنا، ووفق تقارير للأمم المتحدة، حرارة وحالة الأرض تزدادان سوءاً كل سنة..
إليكم أبرز الظواهر الكارثية في 2019 التي وقعت بسبب الاحتباس الحراري",812386155471598_2831744190202441,facebook
