ID,Content,Class,Platform
1076960641804615682,معارك عنيفة في الأحياء الشرقية للحديدة غربي #اليمن تزامنا مع وصول رئيس البعثة الأممية لمراقبة وقف إطلاق النار ,crime-war-conflict,twitter
1149076135608758277,"RT @ajanet_ar: ""دعم عسكري""

المبادرة تضمت إطلاق حوار سياسي بإشراف شخصيات مستقلة لتهيئة الظروف لانتخابات الرئاسة

التفاصيل 👇
https://t.co/Zp…",politics,twitter
1142825939925196800,إعلان فشل محاولة انقلاب في إقليم أمهرة الإثيوبي ومقتل حاكم الإقليم ورئيس هيئة الأركان في الجيش على يد الانقلابيين | تقرير: رانيه حلبي ,politics,twitter
1171445727580631040,بعد تنافس شديد بين 3 قادة.. إسماعيل هنية رئيساً لمكتب حماس الجديد,politics,twitter
1119360938547789825,"RT @ajanet_ar: ""مخالفة"" الدستور
غوايدو أكد سعيه للسيطرة على السلطة التنفيذية بينما يتصرّف مادورو ""كديكتاتور"" وفق قوله

التفاصيل 👇
https://t…",politics,twitter
1170819099976335361,"#كاريكاتير | أسلحة كيميائية

المزيد من الرسوم على الرابط التالي: http://www.aljazeera.net/caricature
#الجزيرة",crime-war-conflict,twitter
1090655886132039681,الفنان المصري العالمي #عمرو_واكد يدخل على خط الأزمة بعد سلسلة من الفيديوهات بثها الممثل ورجل الأعمال #محمد_علي اتهم خلالها #السيسي وقادة بالجيش بالفساد وإهدار مليارات الجنيهات على مصالح شخصية ,politics,twitter
1177312525425303552,"#شاهد | حديقة حيوان في #نيويورك تعرض مواليد جديدة من ""قرد الليْمور المطوّق"" المهدد بالانقراض في موطنه الأصلي مدغشقر.
#الجزيرة",environment,twitter
1125163877036171264,"RT @AJABreaking: عاجل | ماكرون يدين بشدة إطلاق الصواريخ من غزة ويقول إن ""العنف"" يجب أن يتوقف",crime-war-conflict,twitter
1144874705545060353,عاجل | ترمب: الرئيس الفرنسي أخبرني أن بلاده لديها علاقات تجارية مع #إيران وأنه يود لقاءهم فشجعته على ذلك,politics,twitter
1203918153421508608,"""لن يوقفني عن الحكم إلا الموت"".. فكيف سيكون حكم #محمد_بن_سلمان؟
#الجزيرة▶️سياسة
#الجزيرة▶️السعودية",politics,twitter
1217338474807939072,#سوريا.. ارتفاع غير مسبوق في أسعار السلع تزامناً مع انخفاض قيمة الليرة أمام الدولار ,business-and-economy,twitter
1187149200389111808,".معتقل غوانتانامو سيبقى مفتوحاً.. قرار أعلنه ترمب في خطابه الأول عن حالة الاتحاد. 
ماذا تعرفون عن ""معتقل الموت""؟",human-rights-press-freedom,twitter
1142571921332146177,RT @AJABreaking: عاجل | رويترز: قوات الأمن السودانية تغلق الشوارع في وسط #الخرطوم,politics,twitter
1176047107934961664,جهود مكثفة تبذلها إسرائيل لنيل الاعتراف الأمريكي بسيادتها على الهضبة الاستراتيجية وتقول إن هذه المنطقة التي احتلتها تُعتبر منطقة عازلة مهمة أمنياً للدفاع عن أرضها,politics,twitter
1205150464389632000,آلاف الحجاج اليهود في كنيس الغريبة بتونس في المعبد الذي يعتبر الأقدم في أفريقيا,spiritual,twitter
1190208812625608704,RT @AJABreaking: عاجل | الرئيس التركي: نريد حل التحديات والمشاكل التي يواجهها الشعب الليبي عن طريق حوار ليبي ليبي,politics,twitter
1185861852707856385,"""الضربة اللي ما بتقتلنا بتقوينا"".. #عهد_التميمي في أولى لحظات الإفراج عنها بعد قضائها 8 أشهر داخل سجون الاحتلال
#الجزيرة▶️فلسطين
#الجزيرة▶️حقوق",human-rights-press-freedom,twitter
1147101086009954304,RT @Nashratkom: حسابات نشطاء ومشاهير على منصات التواصل تتزين باللون الأزرق تضامنا مع #السودان.. كيف جاءت هذه الفكرة؟ | تقرير: هاجر محرر htt…,politics,twitter
1136383456877957125,RT @AJABreaking: عاجل | خالد بن سلمان: ما قامت به المليشيات من هجوم إرهابي على محطتي أرامكو يؤكد أنها ليست سوى أداة لأجندة #إيران,crime-war-conflict,twitter
1165151187550842880,"""حارس الكاراتيه"" آخر حلقات مسلسل الرسوم المتحركة توم وجيري.. عُرضت في مثل هذا اليوم عام 2005..
هل تعرفون كيف انتهت المطاردة الشهيرة بين القط والفأر؟ ",art-and-entertainment,twitter
1095042328169984000,"وكالة بلومبيرغ أكدت أن فائض المعروض من العقارات في #دبي يمثل عبئا على الشركات العقارية وقطاع تطوير العقارات
",business-and-economy,twitter
1193196552539557892,#إيران تعلن استعدادها للعمل مع جيرانها لتأمين الملاحة البحرية في مياه الخليج.. من سيرحب بالرسالة ومن سيرفضها؟ | تقرير: مريم أوباييش #ما_وراء_الخبر ,politics,twitter
1178059305087455232,ببراءة يحاول حماية نفسه من الصواريخ القادمة من سوريا.. طفل في مدينة كيليس التركية الحدودية يتجول في الشارع مع وعاء طهي على رأسه,politics,twitter
1151169924674588673,RT @AJABreaking: عاجل | المتحدث باسم القوات المسلحة الإيرانية: إيران لن تبدأ أي حرب لكن أي خطأ للعدو سيواجه برد قوي,crime-war-conflict,twitter
